worker_id,name,day,store_id_origin,store_id_destination,store_destination_name,sales,arrival_time,departure_time,service_min,trip_time
w_id_9,,wed,HOME_w_id_9,s_id_127,"Supercenter, Valle Oriente",3205726.0,08:10,11:40,210,10
w_id_9,,wed,s_id_127,s_id_100,"Liverpool, Valle",2720893.0,12:45,16:15,210,5
w_id_11,,mon,HOME_w_id_11,s_id_112,"Supercenter, Escobedo Norte",3201689.0,08:20,15:20,420,20
w_id_11,,wed,HOME_w_id_11,s_id_112,"Supercenter, Escobedo Norte",3201689.0,08:20,11:50,210,20
w_id_11,,wed,s_id_112,s_id_30,"Del Sol, Girasoles Escobedo",2411339.0,12:55,16:25,210,5
w_id_12,,tue,HOME_w_id_12,s_id_34,"Del Sol, Sendero Escobedo",3192291.0,08:55,12:25,210,55
w_id_12,,tue,s_id_34,s_id_70,"Hiper, Sendero Escobedo",2870445.0,13:30,17:00,210,5
w_id_12,,thu,HOME_w_id_12,s_id_34,"Del Sol, Sendero Escobedo",3192291.0,08:55,12:25,210,55
w_id_12,,thu,s_id_34,s_id_70,"Hiper, Sendero Escobedo",2870445.0,13:30,17:00,210,5
w_id_10,,sat,HOME_w_id_10,s_id_38,"Del Sol, Solidaridad Mty.",3188532.0,08:35,12:05,210,35
w_id_9,,thu,HOME_w_id_9,s_id_66,"Hiper, San Pedro",3163392.0,08:20,11:50,210,20
w_id_9,,thu,s_id_66,s_id_78,"Juguetron, Punto Valle",2603228.0,23:35,27:05,210,645
w_id_9,,sat,HOME_w_id_9,s_id_66,"Hiper, San Pedro",3163392.0,08:20,11:50,210,20
w_id_11,,fri,HOME_w_id_11,s_id_126,"Supercenter, Sendero",3095374.0,08:10,15:10,420,10
w_id_6,,fri,HOME_w_id_6,s_id_123,"Supercenter, Plaza Centrika",3054461.0,08:25,15:25,420,25
w_id_2,,wed,HOME_w_id_2,s_id_108,"Supercenter, Chapultepec",2992550.0,08:35,15:35,420,35
w_id_12,,sat,HOME_w_id_12,s_id_70,"Hiper, Sendero Escobedo",2870445.0,08:55,12:25,210,55
w_id_10,,tue,HOME_w_id_10,s_id_72,"Hiper, Sendero Lincoln",2032346.0,08:25,11:55,210,25
w_id_10,,tue,s_id_72,s_id_96,"Liverpool, Cumbres",2793263.0,13:10,16:40,210,15
w_id_7,,tue,HOME_w_id_7,s_id_111,"Supercenter, Eloy Cavazos",2687270.0,08:25,11:55,210,25
